clave_res,FECHA,Hombre_ingreso,Mujer_ingreso,Total_Ingresos_Respiratorios_COVID,Hombres_Recuperados,Mujeres_Recuperadas,Total_Recuperados,Hombre_defuncion,Mujer_defuncion,Total_Defunciones,Hombre_ambulatorio,Mujer_ambulatorio,Total_ambulatorio,Hombre_hospitalizado,Mujer_hospitalizado,Total_hospitalizado,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio,Temperatura Máxima,Humedad relativa Máxima,PM25 Máxima,PM10 Máxima,O3 Máxima,NO Máxima,NOX Máxima,NO2 Máxima,CO Máxima,SO2 Máxima,Temperatura Minima,Humedad relativa Minima,LAT_DECIMAL,LON_DECIMAL,ALTITUD
090080001,01/01/2009,4,8,12,4,8,12,0,0,0,0,3,3,4,5,9,13.50805,48.25448,32.38168,54.07328,25.75485,7.37718,1.10413,38.16948,67.0241,29.33191,24.33474,92.68355,123.56443,224.49175,133.94054,286.38928,345.95419,345.95419,4.76923,73.16111,5.07559,7.83851,19.304898,-99.241515,2520
090140001,01/01/2009,4,5,9,4,4,8,0,1,1,0,1,1,4,4,8,13.85766,48.46696,31.28841,61.75105,22.11455,8.65679,1.41662,41.71665,85.19046,43.63058,25.21024,94.34878,118.74927,259.50729,136.80898,353.77022,413.83024,413.83024,6.05467,90.96897,4.96037,7.38972,19.371992,-99.157853,2238
090040001,01/01/2009,6,2,8,6,2,8,0,0,0,2,0,2,4,2,6,13.38054,48.72771,32.95124,60.81209,29.97649,8.48468,1.33407,40.08391,76.52429,36.67496,22.39854,93.6041,125.2215,251.85855,126.84263,332.20179,394.74273,394.74273,5.58657,92.00727,5.27839,7.42979,19.35735,-99.299792,2780
090090033,01/01/2009,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,13.65075,49.91833,32.99947,63.47544,24.50079,6.99377,1.2996,40.3011,81.73238,41.62631,25.29357,96.85924,132.39379,261.40431,130.94354,337.42463,396.27946,396.27946,5.6622,79.54252,4.46806,8.58211,19.191988,-99.089954,2753
090050001,01/01/2009,45,49,94,40,45,85,5,4,9,8,5,13,37,44,81,14.18049,47.47852,33.06992,79.68605,20.91313,8.65836,1.43802,42.95827,96.59277,53.78436,25.82009,94.76277,121.69878,305.31974,144.2945,458.55133,525.61607,525.61607,6.79657,113.79624,5.00104,6.76136,19.482945,-99.113471,2229
090020001,01/01/2009,29,16,45,28,16,44,1,0,1,3,3,6,26,13,39,14.04355,48.51882,34.94763,73.5656,22.90932,8.50679,1.47031,41.44705,78.2099,36.94038,25.74925,93.93504,123.59033,341.7891,153.47881,359.71194,445.05092,445.05092,6.25362,109.29337,4.54181,6.99228,19.484102,-99.18436,2244
090150001,01/01/2009,28,21,49,27,18,45,1,3,4,3,2,5,25,19,44,14.16649,48.37743,33.61446,71.24531,19.48131,9.44399,1.69648,46.1327,99.2685,53.13189,25.75626,95.29154,115.90276,280.47736,144.51807,484.41396,551.22604,551.22604,7.98777,118.06782,5.0466,7.02029,19.441646,-99.151884,2230
090120001,01/01/2009,16,23,39,16,20,36,0,3,3,1,8,9,15,15,30,13.57403,48.43615,31.91388,57.05214,24.00404,7.8113,1.13152,37.53493,72.74791,35.44102,24.73785,93.32407,122.50993,228.46887,127.25206,321.03042,369.44997,369.44997,5.10845,80.8414,4.97048,7.83176,19.288275,-99.167125,2280
090090001,01/01/2009,8,3,11,8,3,11,0,0,0,2,2,4,6,1,7,13.61791,50.53696,33.45107,65.01789,26.25071,5.64897,1.3206,40.53706,82.68567,42.32988,25.446,98.17875,138.42562,259.23849,133.03429,342.62491,402.1228,402.1228,5.7223,67.85578,4.37496,9.33345,19.191249,-99.023371,2429
090130001,01/01/2009,25,20,45,23,20,43,2,0,2,1,2,3,24,18,42,13.67693,49.47508,32.49766,61.76864,23.18416,7.4371,1.27331,40.22068,82.55948,42.51574,25.21631,95.98105,127.42071,265.00221,130.20799,329.45614,386.88594,386.88594,5.53593,81.34461,4.59287,8.22667,19.263462,-99.104913,2237
090030001,01/01/2009,23,7,30,20,7,27,3,0,3,6,1,7,17,6,23,13.67971,48.38166,30.79451,59.09205,22.59123,8.12307,1.3081,40.22724,80.824,40.78961,24.9044,93.54125,119.01946,262.21369,140.19648,330.58578,387.31798,387.31798,5.49109,83.02833,4.98884,7.63851,19.350214,-99.162146,2247
090070001,01/01/2009,70,57,127,66,51,117,4,6,10,7,4,11,63,53,116,13.93364,48.78485,31.05472,63.63154,23.1669,8.62513,1.31144,41.93498,83.5966,41.89626,25.50846,95.49226,110.45392,260.48263,135.612,326.8847,383.58015,383.58015,6.11502,87.09104,4.79048,7.33319,19.359004,-99.092622,2242
090100001,01/01/2009,14,20,34,12,17,29,2,3,5,0,5,5,14,15,29,13.80307,48.54602,32.47694,58.33809,21.79014,9.07321,1.52518,41.03892,76.93156,36.00342,25.03791,93.85735,120.15876,235.36113,127.18528,347.24527,405.48016,405.48016,5.92184,81.91111,4.86339,7.38725,19.390806,-99.195413,2308
090060001,01/01/2009,11,14,25,9,13,22,2,1,3,2,2,4,9,12,21,14.15907,48.46493,32.16271,66.76576,21.87997,9.37398,1.47306,43.39713,92.18915,48.92703,25.75065,95.69093,114.52035,236.3826,141.52925,386.5511,446.69268,446.69268,6.94031,104.71064,5.09305,7.06977,19.395901,-99.097612,2233
090160001,01/01/2009,6,5,11,5,5,10,1,0,1,0,1,1,6,4,10,13.9134,48.62839,32.96411,62.27099,22.36293,8.8233,1.49768,42.14743,82.15646,40.2558,25.30252,94.1886,119.91976,252.55279,135.36016,359.10833,427.32815,427.32815,6.22287,96.40924,4.79289,7.23618,19.407269,-99.190754,2264
090110001,01/01/2009,12,9,21,11,9,20,1,0,1,2,2,4,10,7,17,13.6035,50.78935,34.15288,65.39269,28.08496,4.42208,1.33078,40.80657,83.22299,42.5814,25.49273,98.74809,148.68958,255.17405,134.87707,340.39906,399.75819,399.75819,5.80807,55.89841,4.3795,9.76341,19.270566,-99.004846,2249
090170001,01/01/2009,14,12,26,13,11,24,1,1,2,1,4,5,13,8,21,14.31242,48.36665,32.20189,69.93297,19.80683,9.50356,1.89599,48.03148,113.25079,65.5402,25.88982,95.9689,101.10169,265.64045,141.25913,445.07633,503.20221,503.20221,8.35222,124.40204,5.37706,7.00239,19.419261,-99.113701,2229

