LAT_DECIMAL,LON_DECIMAL,Cluster
19.199101,-99.204992,2
19.203313,-99.237933,2
19.298436,-99.00485,1
19.19359,-99.234292,2
19.227484,-99.252095,2
19.226744,-99.129825,1
19.161776,-99.17371,1
19.245905,-99.227605,2
19.233611,-99.204444,2
19.18922,-99.223727,2
19.19403,-99.17437,2
19.205657,-99.220733,2
19.136073,-99.11531,1
19.19872,-99.232315,2
19.192251,-99.108558,1
19.196144,-99.176662,2
19.205993,-99.169795,2
19.22426,-99.238719,2
19.221023,-99.117343,1
19.257577,-99.243462,2
19.21245,-99.151792,1
19.263854,-99.037223,1
19.213381,-99.234639,2
19.205734,-99.216611,2
19.198611,-99.24,2
19.25098,-99.244051,2
19.189983,-99.176147,2
19.187274,-99.186305,2
19.193564,-99.220806,2
19.181475,-99.174648,2
19.202823,-99.118475,1
19.155676,-99.162177,1
19.174556,-99.256085,2
19.185064,-99.165849,1
19.198672,-99.109686,1
19.192782,-99.227251,2
19.199588,-99.233986,2
19.216993,-99.107882,1
19.204904,-99.08416,1
19.218483,-99.109494,1
19.229466,-99.141905,1
19.225067,-99.145878,1
19.19573,-99.229507,2
19.276577,-99.245912,2
19.210811,-99.145422,1
19.186411,-99.216694,2
19.229349,-99.232611,2
19.216389,-99.143333,1
19.216666,-99.147222,1
19.204429,-99.018512,1
19.2125,-99.151667,1
19.197777,-99.059221,1
19.174475,-98.988001,1
19.206694,-99.100363,1
19.191323,-99.038305,1
19.183347,-99.100331,1
19.208951,-99.089361,1
19.166308,-99.072174,1
19.204553,-99.056161,1
19.192523,-99.080407,1
19.212484,-99.073849,1
19.197078,-99.227004,2
19.207872,-99.056423,1
19.20853,-99.21334,2
19.185182,-98.990144,1
19.215858,-99.060972,1
19.204425,-99.037402,1
19.207109,-99.296937,2
19.19577,-99.079989,1
19.31404,-99.037655,1
19.201326,-99.058587,1
19.182769,-99.083736,1
19.202924,-99.061669,1
19.20681,-98.976423,1
19.243296,-99.196652,2
19.20912,-99.055309,1
19.308285,-99.014268,1
19.21113,-99.050856,1
19.243233,-99.135227,1
19.195639,-99.077756,1
19.216087,-99.158801,2
19.184651,-99.094279,1
19.228961,-99.246264,2
19.24227,-99.077933,1
19.228372,-99.152124,2
19.168391,-99.001498,1
19.18498,-99.08204,1
19.198486,-99.063102,1
19.216779,-99.114201,1
19.200248,-99.082486,1
19.193007,-99.033849,1
