ClaveLocRes,FECHA,POB_TOTAL_INEGI,POB_MASCULINA_INEGI,POB_FEMENINA_INEGI,AMBITO,TOTAL DE VIVIENDAS HABITADAS,Hombres_ingresos,Mujeres_Ingresos,Total_INgresos_COVID,Hombres_MIGRANTE_SI,Mujeres_MIGRANTE_SI,Hombres_MIGRANTE_NO,Mujeres_MIGRANTE_NO,Hombres_MIGRANTE_NOESPECIFICO,Mujeres_MIGRANTE_NOESPECIFICO,Hombres_Recuperadas,Mujeres_Recuperadas,Total_Recuperados,Hombres_defuncion,Mujeres_defuncion,Total_Defunciones,Hombres_Tres_complicaciones,Mujeres_Tres_complicaciones,Total_Tres_complicaciones,Hombres_Mayor_cuatro_comorbilidades,Mujeres_Maayor_cuatro_comorbilidades,Total_mayor_cuatro_comorbilidades,Hombres_Ambulatorio,Mujeres_Ambulatorio,Total_ambulatorio,Hombres_Hospitalizado,Mujeres_Hospitalizado,Total_hospitalizado,Hombres_Intubado_SI,Mujeres_Intubado_SI,Hombres_Intubado_NO,Mujeres_Intubado_NO,Hombres_Intubado_NO_APLICA,Mujeres_Intubado_NO_APLICA,Hombres_Intubado_NOESPECIFICO,Mujeres_Intubado_NOESPECIFICO,Hombres_UCI_SI,Mujeres_UCI_SI,Hombres_UCI_NO,Mujeres_UCI_NO,Hombres_UCI_NO_APLICA,Mujeres_UCI_NO_APLICA,Hombres_UCI_NOESPECIFICO,Mujeres_UCI_NOESPECIFICO,Hombres_Neumonia_SI,Mujeres_Neumonia_SI,Hombres_Neumonia_NO,Mujeres_Neumonia_NO,Hombres_Neumonia_NOESPECIFICO,Mujeres_Neumonia_NOESPECIFICO,Hombres_Diabetes_SI,Mujeres_Diabetes_SI,Hombres_Diabetes_NO,Mujeres_Diabetes_NO,Hombres_EPOC_SI,Mujeres_EPOC_SI,Hombres_EPOC_NO,Mujeres_EPOC_NO,Hombres_ASMA_SI,Mujeres_ASMA_SI,Hombres_ASMA_NO,Mujeres_ASMA_NO,Hombres_INMUSUPR_SI,Mujeres_INMUSUPR_SI,Hombres_INMUSUPR_NO,Mujeres_INMUSUPR_NO,Hombres_HIPERTENSION_SI,Mujeres_HIPERTENSION_SI,Hombres_HIPERTENSION_NO,Mujeres_HIPERTENSION_NO,Hombres_OTRAS_COM_SI,Mujeres_OTRAS_COM_SI,Hombres_OTRAS_COM_NO,Mujeres_OTRAS_COM_NO,Hombres_CARDIOVASCULAR_SI,Mujeres_CARDIOVASCULAR_SI,Hombres_CARDIOVASCULAR_NO,Mujeres_CARDIOVASCULAR_NO,Hombres_OBESIDAD_SI,Mujeres_OBESIDAD_SI,Hombres_OBESIDAD_NO,Mujeres_OBESIDAD_NO,Hombres_RENAL_CRONICA_SI,Mujeres_RENAL_CRONICA_SI,Hombres_RENAL_CRONICA_NO,Mujeres_RENAL_CRONICA_NO,Hombres_TABAQUISMO_SI,Mujeres_TABAQUISMO_SI,Hombres_TABAQUISMO_NO,Mujeres_TABAQUISMO_NO,Hombres_OTRO_CASO_SI,Mujeres_OTRO_CASO_SI,Hombres_OTRO_CASO_NO,Mujeres_OTRO_CASO_NO,Hombres_OTRO_CASO_NOESPECIFICO,Mujeres_OTRO_CASO_NOESPECIFICO,Hombres_TOMA_MUESTRA_LAB_SI,Mujeres_TOMA_MUESTRA_LAB_SI,Hombres_TOMA_MUESTRA_LAB_NO,Mujeres_TOMA_MUESTRA_LAB_NO,Hombres_TOMA_MUESTRA_ANTIGENO_SI,Mujeres_TOMA_MUESTRA_ANTIGENO_SI,Hombres_TOMA_MUESTRA_ANTIGENO_NO,Mujeres_TOMA_MUESTRA_ANTIGENO_NO,Hombres_COVID19_POSITIVO,Mujeres_COVID19_POSITIVO,Hombres_COVID19_NEGATIVO,Mujeres_COVID19_NEGATIVO,Hombres_COVID19_NO_ADECUADO,Mujeres_COVID19_NO_ADECUADO,Hombres_COVID19_NO_APLICA,Mujeres_COVID19_NO_APLICA,Hombres_ANTIGENO_POSITIVO,Mujeres_ANTIGENO_POSITIVO,Hombres_ANTIGENO_NEGATIVO,Mujeres_ANTIGENO_NEGATIVO,Hombres_ANTIGENO_NO_APLICA,Mujeres_ANTIGENO_NO_APLICA,Temperatura Promedio,Humedad relativa Promedio,PM25 Promedio,PM10 Promedio,O3 Promedio,SO2 Promedio,CO Promedio,NO2 Promedio,NOX Promedio,NO Promedio,Temperatura Máxima,Humedad relativa Máxima,PM25 Máxima,PM10 Máxima,O3 Máxima,NO Máxima,NOX Máxima,NO2 Máxima,CO Máxima,SO2 Máxima,Temperatura Minima,Humedad relativa Minima,NOM_ENT,NOM_MUN,NOM_LOC,LAT_DECIMAL,LON_DECIMAL,ALTITUD
090110138,01/09/2020,0,0,0,Rural,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17.54983,65.38156,15.73356,26.37404,26.56696,1.75825,0.31982,16.98128,23.73836,6.46884,26.89133,90.72502,60.21833,94.92144,106.24926,104.61448,130.45784,130.45784,1.67535,18.29954,9.36476,20.20827,Ciudad de México,Tláhuac,Monserrat (Arenales Oaxaca),19.316111,99.017777,2328
090080081,01/09/2020,0,0,0,Rural,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.48253,68.18667,14.38229,21.93065,28.54656,2.4664,0.23532,15.85481,21.48383,5.70149,25.05092,91.10593,57.68193,82.10145,115.11368,75.92356,97.35536,97.35536,0.90588,40.8044,9.24165,21.27249,Ciudad de México,La Magdalena Contreras,Primer Dinamo,19.288889,99.264444,2671
090090238,01/09/2020,0,0,0,Rural,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15.56619,69.73608,14.82599,24.97657,32.2758,1.15365,0.16953,9.30393,19.88484,5.97584,24.46099,89.92123,56.40346,89.52085,119.06383,78.06927,97.29639,97.29639,0.82724,19.09168,7.95596,26.60854,Ciudad de México,Milpa Alta,Ocoteloloco (Tlaxcantitla),19.172511,99.019099,2701
090090353,01/09/2020,0,0,0,Rural,0,0,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,2,2,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,1,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,3,15.04055,71.03037,14.85897,25.13405,33.84996,0.98369,0.13626,7.86556,19.98867,6.04432,23.80914,89.97787,56.44487,89.95212,120.46964,79.47807,98.88916,98.88916,0.65591,17.48896,7.60927,28.42785,Ciudad de México,Milpa Alta,Tepenahuac [Centro de Educación Ambiental],19.172893,98.977156,2600
090080086,01/09/2020,0,0,0,Rural,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.42475,68.35894,14.32116,21.851,28.48883,2.4591,0.23444,15.87598,21.61692,5.80075,25.01138,91.14681,57.57936,82.02117,114.73792,77.05226,98.56189,98.56189,0.90686,40.52063,9.17646,21.42833,Ciudad de México,La Magdalena Contreras,Coapanoaya,19.286082,99.269733,2719
090120352,01/09/2020,0,0,0,Rural,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.12913,66.31774,14.71505,23.81031,27.95516,2.09058,0.25918,15.80857,22.26332,6.10555,26.14615,91.23282,56.66478,85.97577,114.93549,78.13735,99.86759,99.86759,1.07437,33.93083,9.45959,20.50471,Ciudad de México,Tlalpan,Las Ventas,19.217934,99.154858,2819
090110116,01/09/2020,5,,,Rural,1,0,2,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,17.37521,65.46167,15.30622,25.99675,26.90287,1.69903,0.29652,15.48862,22.34406,6.37939,26.73546,90.03229,58.20685,92.39141,108.47497,95.17748,118.73045,118.73045,1.52332,20.33884,9.13161,20.56244,Ciudad de México,Tláhuac,Santa Catarina [Lienzo Charro],19.305158,98.970156,2246
090090237,01/09/2020,5,,,Rural,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15.85088,69.06033,14.8147,24.89742,31.42731,1.26797,0.18747,10.23279,20.33257,6.06942,24.80431,89.97483,56.40276,89.31015,118.11525,79.24341,98.92123,98.92123,0.90664,20.45416,8.16632,25.60625,Ciudad de México,Milpa Alta,Tenopantitla,19.164733,99.028284,2826
090120193,01/09/2020,5,,,Rural,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.8549,67.13698,14.57433,22.87988,27.86144,2.24237,0.24861,15.97989,22.46745,6.25315,25.75231,91.04063,57.08794,84.18598,113.4063,80.5003,102.44504,102.44504,1.02101,37.16474,9.34454,20.91599,Ciudad de México,Tlalpan,Los Sauces,19.199601,99.230164,3269
090120359,01/09/2020,6,2,4,Rural,3,0,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,2,0,1,0,0,0,3,0,0,0,3,0,2,0,1,0,0,0,3,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,3,16.94474,66.87601,14.64206,23.10694,27.88161,2.21862,0.25122,15.94868,22.40791,6.20202,25.86258,91.03688,57.07789,84.5757,113.76913,79.7138,101.63451,101.63451,1.03283,36.75856,9.40546,20.7533,Ciudad de México,Tlalpan,Tixtapaltongo (Loma de Ahuayoto),19.201879,99.212244,3127
090090294,01/09/2020,7,,,Rural,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.66312,67.19397,14.77243,24.67767,29.1162,1.62257,0.23648,12.99652,21.09395,6.16899,25.76215,90.29719,56.36369,88.66535,115.72701,80.20437,100.61612,100.61612,1.10708,25.04081,8.80714,22.66826,Ciudad de México,Milpa Alta,Acuexcomatl,19.171222,99.068071,2852
090120207,01/09/2020,8,,,Rural,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.07569,66.46513,14.75134,23.17173,28.0697,2.22404,0.25356,16.04158,21.99902,5.83762,25.96246,91.07352,57.27375,84.20293,115.18774,74.63561,96.44715,96.44715,1.01517,37.3514,9.56703,20.35659,Ciudad de México,Tlalpan,Camino Viejo a San Andrés,19.239314,99.191192,2757
090110122,01/09/2020,8,,,Rural,1,0,2,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,17.19743,64.50983,14.99658,25.61938,27.89078,1.12731,0.28201,10.19943,15.14622,4.95729,26.70656,87.50329,56.87202,91.4696,120.45711,63.55813,77.73803,77.73803,1.6289,12.95723,8.48513,21.13136,Ciudad de México,Tláhuac,Las Tablas,19.255653,98.998573,2241
090110157,01/09/2020,10,,,Rural,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.52699,65.4528,15.49838,26.32393,26.7596,1.75532,0.31077,16.57318,23.30134,6.42615,26.86394,90.77042,59.06527,94.81774,108.30215,98.61482,123.38196,123.38196,1.58298,19.70628,9.36218,20.29244,Ciudad de México,Tláhuac,Tezontenco,19.310259,99.022901,2291
090090280,01/09/2020,11,4,7,Rural,3,0,3,3,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,2,0,1,0,0,0,3,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,3,16.86691,66.4336,14.76417,24.95964,28.67934,1.54439,0.25236,12.85635,19.79909,5.85302,26.07127,89.92658,56.17674,89.4354,116.6002,76.17735,95.23639,95.23639,1.23099,22.54165,8.81644,22.04425,Ciudad de México,Milpa Alta,Teutlalpa,19.210351,99.057322,2571
090080071,01/09/2020,15,8,7,Rural,6,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.74943,67.39114,14.56312,22.36838,28.17918,2.33932,0.24278,16.02833,21.86957,5.82349,25.48862,90.98199,57.52881,82.75579,114.5058,75.79583,97.43781,97.43781,0.96041,39.3631,9.39396,20.8751,Ciudad de México,La Magdalena Contreras,Ejido de San Nicolás Totolapan,19.253965,99.245446,2914
090120438,01/09/2020,19,11,8,Rural,7,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17.05535,66.53843,14.72534,23.23839,27.99652,2.21085,0.25379,16.00583,22.15489,5.97124,25.9653,91.07789,57.16378,84.51856,114.76399,76.46804,98.31288,98.31288,1.02759,36.87157,9.52066,20.45931,Ciudad de México,Tlalpan,Ejido de San Miguel Xicalco,19.227254,99.192389,2833
090110150,01/09/2020,26,13,13,Rural,7,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.20971,64.3131,14.90442,25.43502,27.89529,1.05748,0.28354,9.63692,14.43723,4.81325,26.74873,87.18494,56.53971,90.90322,121.54689,61.00465,74.35011,74.35011,1.66861,11.70768,8.4227,21.09057,Ciudad de México,Tláhuac,La Nopalera,19.238146,99.012398,2354
090090050,01/09/2020,27,10,17,Rural,6,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.58446,69.64831,14.83108,25.02646,32.23485,1.14288,0.17116,9.2639,19.43008,5.87238,24.49023,89.85995,56.39823,89.65113,119.18225,76.66704,95.42132,95.42132,0.84155,18.79497,7.95226,26.55235,Ciudad de México,Milpa Alta,Cozcatlán,19.181181,99.017673,2539
090130237,01/09/2020,28,15,13,Rural,7,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.12559,66.24739,14.68273,24.33466,28.02775,1.93892,0.26195,15.33831,22.0439,6.14064,26.22984,91.22514,56.18814,87.4691,115.28892,79.02981,100.3384,100.3384,1.12374,30.33431,9.32411,20.74707,Ciudad de México,Xochimilco,El Cedral,19.21604,99.117929,2400
090120426,01/09/2020,35,17,18,Rural,11,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.94003,66.85421,14.68601,22.79997,28.08601,2.27981,0.24861,16.0438,21.97072,5.8481,25.76099,90.97998,57.43643,83.52997,114.72338,75.34688,97.10011,97.10011,0.9925,38.44709,9.50361,20.56663,Ciudad de México,Tlalpan,Pedregal del Xitle,19.23982,99.219379,2960
090120378,01/09/2020,43,26,17,Rural,8,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.75487,67.35987,14.57899,22.347,28.23021,2.34739,0.24244,16.01406,21.76295,5.74183,25.47427,90.96225,57.59641,82.65435,114.72306,74.98501,96.56445,96.56445,0.95451,39.59347,9.41494,20.83233,Ciudad de México,Tlalpan,Rancho Viejo,19.259697,99.244446,2841
090090045,01/09/2020,57,31,26,Rural,17,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.17268,68.20136,14.81026,24.95053,30.53837,1.33554,0.20821,10.91104,19.71436,5.90912,25.21543,89.84163,56.35783,89.4317,117.718,77.02503,96.04933,96.04933,1.02446,20.6873,8.34879,24.49733,Ciudad de México,Milpa Alta,Los Pinos (Totulan),19.183551,99.035123,2572
090100213,01/09/2020,63,33,30,Rural,12,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.2805,68.83869,14.21186,21.72854,28.77658,2.55583,0.23134,15.70262,21.36961,5.76333,24.7587,91.2974,57.64074,82.02257,115.36912,77.62273,99.08784,99.08784,0.87714,41.36334,9.07728,21.65308,Ciudad de México,Álvaro Obregón,Ojo de Agua,19.301921,99.274637,2864
090120210,01/09/2020,65,33,32,Rural,15,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.08627,66.44443,14.74236,23.28587,28.02701,2.20409,0.25467,16.02134,22.0949,5.91326,25.99975,91.10924,57.15884,84.5324,115.05179,75.59536,97.42667,97.42667,1.02678,36.79605,9.54724,20.3834,Ciudad de México,Tlalpan,El Arenal,19.233587,99.186219,2743
090110126,01/09/2020,71,41,30,Rural,14,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,17.49821,65.48824,15.33588,26.26302,26.92258,1.74457,0.30416,16.20492,22.88514,6.36516,26.83175,90.77331,58.29476,94.6101,109.87666,94.15768,118.02539,118.02539,1.52097,20.55413,9.34175,20.36069,Ciudad de México,Tláhuac,Camino a Tlaltenco,19.305093,99.026713,2254
090090054,01/09/2020,72,38,34,Rural,18,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16.645,67.20848,14.77418,24.70634,29.17506,1.60298,0.23577,12.88469,20.98009,6.14374,25.74571,90.25793,56.35308,88.74106,115.86636,79.90695,100.2037,100.2037,1.10797,24.67968,8.78229,22.74437,Ciudad de México,Milpa Alta,Zangahco,19.173942,99.065664,2807
090130169,01/09/2020,95,48,47,Rural,26,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.20482,66.00135,14.39672,25.1402,28.09646,1.80241,0.27539,15.77418,21.94721,5.92068,26.42119,92.43695,54.68147,90.07482,117.78623,76.71205,97.30277,97.30277,1.14053,26.13218,9.26221,20.34241,Ciudad de México,Xochimilco,Apatlaco,19.264672,99.086559,2233
